work_id,title,slug,slug_source,automatic_slug,override_slug,report_url,otrostitulos
BANCES_SangreValorYFortuna(Transk-MSS),"Sangre, valor y fortuna",sangre-valor-y-fortuna,automatic,sangre-valor-y-fortuna,,https://etso.es/informes/analisis-estilometrico-sangre-valor-y-fortuna,
LOPE_SantaCasilda,Santa Casilda,santa-casilda,automatic,santa-casilda,,https://etso.es/informes/analisis-estilometrico-santa-casilda,
DESCONOCIDO_SantaCatalina,Santa Catalina,santa-catalina,automatic,santa-catalina,,https://etso.es/informes/analisis-estilometrico-santa-catalina,
CALLEJA-OTRO_SantaCatalina(Transk-MSS),"Santa Catalina Virgen, la rosa de Alejandría, y la disputa que tuvo con los doctores",santa-catalina-virgen-la-rosa-de-alejandria-y-la-disputa-que-tuvo,automatic,santa-catalina-virgen-la-rosa-de-alejandria-y-la-disputa-que-tuvo,,https://etso.es/informes/analisis-estilometrico-santa-catalina-virgen-la-rosa-de-alejandria-y-la-disputa-que-tuvo,
ROJAS_SantaIsabel,Santa Isabel reina de Portugal,santa-isabel-reina-de-portugal,automatic,santa-isabel-reina-de-portugal,,https://etso.es/informes/analisis-estilometrico-santa-isabel-reina-de-portugal,
TIRSO_SantaJuana(PrimeraParte),"Santa Juana, La (primera parte)",la-santa-juana-primera-parte,automatic,la-santa-juana-primera-parte,,https://etso.es/informes/analisis-estilometrico-la-santa-juana-primera-parte,
TIRSO_SantaJuana(SegundaParte),"Santa Juana, La (segunda parte)",la-santa-juana-segunda-parte,automatic,la-santa-juana-segunda-parte,,https://etso.es/informes/analisis-estilometrico-la-santa-juana-segunda-parte,
TIRSO_SantaJuana(TerceraParte),"Santa Juana, La (tercera parte)",la-santa-juana-tercera-parte,automatic,la-santa-juana-tercera-parte,,https://etso.es/informes/analisis-estilometrico-la-santa-juana-tercera-parte,
DIAMANTE_SantaJuliana(Transk-IMPR),Santa Juliana,santa-juliana,automatic,santa-juliana,,https://etso.es/informes/analisis-estilometrico-santa-juliana,
LOPE_SantaLiga,"Santa Liga, La",la-santa-liga,automatic,la-santa-liga,,https://etso.es/informes/analisis-estilometrico-la-santa-liga,
DIAMANTE_SantaMagdalenaDePazzi(Modern-Aut),Santa Magdalena de Pazzi,santa-magdalena-de-pazzi,automatic,santa-magdalena-de-pazzi,,https://etso.es/informes/analisis-estilometrico-santa-magdalena-de-pazzi,
ENCISO_SantaMargarita(Transk-IMPR),Santa Margarita,santa-margarita,automatic,santa-margarita,,https://etso.es/informes/analisis-estilometrico-santa-margarita,
DIAMANTE_SantaMariaDelMonte(Modern-Aut),Santa María del Monte y convento de San Juan,santa-maria-del-monte-y-convento-de-san-juan,automatic,santa-maria-del-monte-y-convento-de-san-juan,,https://etso.es/informes/analisis-estilometrico-santa-maria-del-monte-y-convento-de-san-juan,
GONZALEZ-BUSTOS_SantaOlallaDeMerida(Transk-IMPR),Santa Olalla de Mérida,santa-olalla-de-merida,automatic,santa-olalla-de-merida,,https://etso.es/informes/analisis-estilometrico-santa-olalla-de-merida,
ENRIQUEZ_SantaPelagia,"Santa Pelagia, la margarita de los cielos y más firme penitencia",santa-pelagia-la-margarita-de-los-cielos-y-mas-firme-penitencia,automatic,santa-pelagia-la-margarita-de-los-cielos-y-mas-firme-penitencia,,https://etso.es/informes/analisis-estilometrico-santa-pelagia-la-margarita-de-los-cielos-y-mas-firme-penitencia,
MORETO&LANINI_SantaRosa,Santa Rosa del Perú,santa-rosa-del-peru,automatic,santa-rosa-del-peru,,https://etso.es/informes/analisis-estilometrico-santa-rosa-del-peru,
VELEZ_SantaSusana,Santa Susana,santa-susana,automatic,santa-susana,,https://etso.es/informes/analisis-estilometrico-santa-susana,
CLARAMONTE_SantaTeodora,Santa Teodora,santa-teodora,automatic,santa-teodora,,https://etso.es/informes/analisis-estilometrico-santa-teodora,"Púsoseme el sol, saliome la luna"
DIAMANTE_SantaTeresaDeJesus(Transk-IMPR),Santa Teresa de Jesús,santa-teresa-de-jesus,automatic,santa-teresa-de-jesus,,https://etso.es/informes/analisis-estilometrico-santa-teresa-de-jesus,
ENRIQUEZ_SantaTaez,Santa Táez,santa-taez-0,override,santa-taez,santa-taez-0,https://etso.es/informes/analisis-estilometrico-santa-taez-0,
ROJAS_SantaTaez,Santa Táez,santa-taez,override,santa-taez-0,santa-taez,https://etso.es/informes/analisis-estilometrico-santa-taez,
DESCONOCIDO_SantaVida,"Santa vida, La",la-santa-vida,automatic,la-santa-vida,,https://etso.es/informes/analisis-estilometrico-la-santa-vida,
LOPE_SantiagoElVerde,Santiago el verde,santiago-el-verde,automatic,santiago-el-verde,,https://etso.es/informes/analisis-estilometrico-santiago-el-verde,
MORETO_SantoCristo,"Santo Cristo de Cabrilla, El",el-santo-cristo-de-cabrilla,automatic,el-santo-cristo-de-cabrilla,,https://etso.es/informes/analisis-estilometrico-el-santo-cristo-de-cabrilla,"Cristo de los Milagros, El"
MONTALBAN_SantoDomingo,Santo Domingo en Soriano,santo-domingo-en-soriano,automatic,santo-domingo-en-soriano,,https://etso.es/informes/analisis-estilometrico-santo-domingo-en-soriano,
